Gender,Age,Occupational Sector ,Streams,Mode,Stage_Phd,Year_completion,Type_University,ING1,ING2,ING3,IDN1,IDN2,IDN3,INR1,INR2,INR3,EXT1,EXT2,EXT3,EXT4,EXT5,INT1,INT2,INT3,SE1,SE2,SE3,SE4,SE5,SE6,SE7,SE8,Methodology,Method,survey,perspectives,critical_analysis,career_mgmt,scholarly_perspective,Communication,Flexible,Execution,Network,Project_mgmt,Pedagogy,Team_work,PHD_Track,Guiding_Research,Teaching_RM,Data_Analysis,Getting_Funds,Suggestion_Improve
Female,30-40,Industry,Others,Part time,Completed Ph.D,2019,State Univ. ,5,3,4,5,5,3,2,5,5,4,5,5,3,5,4,4,5,5,5,5,5,5,5,5,5,Quantitative research approach  (psychometrics),Survey,1,4,4,4,5,5,5,5,5,5,3,5,On Track,5,4,5,3,Need more comprehensive approach 
Female,41-50,Academics,Others,Full Time,Completed Ph.D,2012,State Univ. ,5,4,3,5,5,5,1,2,2,2,4,4,2,2,4,3,1,2,2,2,1,2,1,1,1,Quantitative research approach  (psychometrics),Survey,5,5,5,3,5,5,2,3,2,3,2,5,Delayed 2 yrs,5,5,5,4,For many early career faculty becoming a mentor to a phd student is a mentor to a phd student in a major transition prepared. Sometimes they are not adequately for research requirements. Institution can facilitate this transition by supporting faculty development progress and mentoring the faculty 
Female,GT 50yrs,Academics,Others,Part time,Completed Ph.D,2015,State Univ. ,5,3,3,4,4,4,3,3,3,1,4,4,3,2,4,4,4,4,4,4,3,3,3,3,3,Quantitative research approach  (psychometrics),Survey,3,4,4,3,4,4,4,4,3,3,4,4,On Track,4,3,3,4,Reputed indexed  journal publication  before submission of thesis
Female,30-40,Academics,Others,Full Time,"Final stage (Thesis writing, submission and viva)",Not completed ,State Univ. ,4,4,5,4,4,5,5,3,2,4,5,3,4,3,4,5,5,5,2,2,3,2,4,4,3,Mixed Research Method,Survey,5,3,2,4,5,5,4,3,5,1,2,5,Delayed 1 yr,4,3,1,1,Must provide funds to scholars
Female,GT 50yrs,Academics,Others,Part time,First stage (Coursework),Not completed,State Univ. ,4,2,4,5,5,5,1,4,4,2,2,2,1,4,4,5,5,4,2,4,2,2,4,2,2,Qualitative research approach;Quantitative research approach  (psychometrics),Survey;Interview;Content Analysis,2,3,2,2,3,3,2,3,3,3,3,3,Delayed 1 yr,3,3,2,3,Red tapism should be minimised
Male,30-40,Academics,Others,Full Time,Completed Ph.D,2022,Excell.Instt.,5,5,5,5,5,5,1,1,1,3,5,5,4,4,4,2,4,5,2,3,4,2,2,1,1,Mixed Research Method,Survey,3,4,5,5,5,4,4,4,5,5,5,4,On Track,5,4,1,3,Universities should open a thesis writing centre to help scholars in writing thesis as many fear written communication in English
Female,LT 30yrs,Academics,Others,Full Time,Third stage (Data collection and analysis),Not completed yet,Pvt Univ. ,4,4,3,5,4,2,1,1,4,5,4,4,1,2,5,3,3,4,3,4,4,3,4,4,4,Qualitative research approach;Quantitative research approach  (econometrics),Survey,4,3,4,4,5,5,4,4,3,4,2,3,Delayed 1 yr,4,4,3,4,Increase access to peer reviewed articles
Female,30-40,Academics,Others,Part time,"Final stage (Thesis writing, submission and viva)",Not completed yet,State Univ. ,4,3,3,5,5,5,2,3,4,4,4,4,2,4,5,5,5,3,3,4,3,3,4,4,3,Mixed Research Method,Survey;Interview,4,4,4,4,4,4,4,4,4,4,4,4,Delayed >3 yrs,4,4,3,3,More accessible facilities 
Male,GT 50yrs,Academics,Others,Part time,Completed Ph.D,2009,State Univ. ,5,1,1,4,5,5,1,5,1,3,3,3,1,4,4,4,4,4,2,4,5,5,5,4,5,Quantitative research approach  (psychometrics),Experimental,2,5,4,4,4,4,3,4,4,4,4,5,On Track,3,4,3,3,Students should have flexibility to select topic for research.
Female,41-50,Academics,Others,Full Time,Completed Ph.D,2012,State Univ. ,5,5,4,4,4,4,3,2,4,3,3,4,3,3,5,5,5,4,4,4,4,3,4,3,4,Qualitative research approach;Mixed Research Method,Survey;Phenomenology;Interview;Content Analysis,4,4,4,4,5,4,3,3,3,3,4,4,On Track,4,4,4,4,Scholars should learn more and be an independent researcher . University must ensure the rigour of the research thesis and aim at quality work .
Female,30-40,Academics,Others,Part time,Completed Ph.D,2018,State Univ. ,5,4,4,4,4,3,1,2,5,4,5,5,4,4,4,4,4,4,4,4,4,3,4,3,3,Qualitative research approach,Survey,4,4,4,4,4,4,4,4,4,4,4,4,Delayed 2 yrs,4,2,2,4,More recognition and good pay
Female,30-40,Industry,Others,Full Time,"Final stage (Thesis writing, submission and viva)",2022,Pvt Univ. ,4,3,3,4,4,4,2,3,3,4,4,3,3,4,4,4,4,3,3,4,4,3,3,3,3,Mixed Research Method,Survey;Interview,4,4,3,2,3,4,2,3,4,3,2,3,Delayed 1 yr,3,3,3,3,Right Direction 
Female,41-50,Academics,Mgmt,Part time,Third stage (Data collection and analysis),Not yet,State Univ. ,4,3,3,4,4,3,2,3,2,2,3,2,3,2,2,3,3,4,3,3,2,3,3,2,3,Quantitative research approach  (psychometrics),Survey,4,4,4,3,4,4,2,3,5,4,3,4,On Track,3,3,2,3,University is not updating the progress of the candidates on regular basis where scholar have to wait for long time period to move further 
Male,30-40,Academics,Mgmt,Part time,Third stage (Data collection and analysis),No,State Univ. ,3,4,2,2,2,3,1,5,5,5,5,5,5,4,5,4,3,5,1,5,2,1,1,1,1,Qualitative research approach,Survey,1,4,4,4,5,1,5,5,5,4,5,4,On Track,4,3,1,3,Inculcate quality by providing relavant software and other resources..
Female,LT 30yrs,Academics,Soc.Science,Full Time,"Second stage (Finalising title, Identification of constructs,  Interview/questionnaire design)",0,Pvt Univ. ,5,4,5,4,4,3,1,1,4,5,5,5,3,5,4,3,3,5,5,5,5,5,5,4,3,Quantitative research approach  (econometrics),Experimental,5,5,5,5,5,5,4,5,5,5,5,5,On Track,4,3,3,2,"College fee for PhD programs should be between 10k-20k annually, net should not be a compulsory requirement for contractual lecturer, universities rather pvt or govt should focus on quality of research and not quantity, for instance publishing 2-3 or more SCI papers should not be a PhD qualifying category.
Residential facility till our PhD is completed should be fixed and not change on annual or semester basis as it is prevailing for other courses.
The stipend should increase to around 40k-50k."
Male,GT 50yrs,Others,STEM,Part time,Completed Ph.D,2019,State Univ. ,5,5,5,5,5,5,1,5,5,5,3,3,3,5,5,5,5,5,1,4,5,4,5,5,5,Mixed Research Method,Survey;Others,5,5,5,3,5,5,5,5,5,5,5,5,Delayed 2 yrs,5,5,3,3,"Enrolling industry Resource person for guidance. Even they don't allow Doctorates to enroll as guides. Ex: VTU, a pathetic one. "
Female,30-40,Academics,Soc.Science,Full Time,"Final stage (Thesis writing, submission and viva)",2022,Pvt Univ. ,4,4,4,5,5,5,2,3,3,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,Quantitative research approach  (psychometrics),Survey,4,4,4,4,4,4,4,4,4,4,4,4,On Track,5,4,3,4,Need to learn data analysis and interpretation in early days of PhD 
Male,30-40,Industry,Mgmt,Part time,Completed Ph.D,2021,State Univ. ,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Mixed Research Method,Experimental;Survey;Interview,5,5,5,5,5,5,5,5,5,5,5,5,On Track,5,5,3,5,"Open up the opportunities to Research Scholar for carry out the crystal clear Research, which may be useful for policy makers. "
